경과일,진행상태,제품구분,건명,기안일,기안승인,예상일정,입고일,문서제목,비고
148일,미입고,[꿈비] 유모차 웜 라이너_그레이,웜라이너 패드 발주,2026년 1월 27일,2026년 1월 28일,,,[엄마감동] 웜라이너 CS자재 발주 요청 건,"@엄마감동팀 @구매품질팀 @신상품기획파트 강태헌 파트장 "
86일,미입고,[꿈비] 젖병살균세척기,26.03월 젖병살균세척기 정기 발주,2026년 3월 30일,2026년 5월 7일,,,[엄마감동] 젖병살균세척기 03월 CS자재 발주 요청 건,"@엄마감동팀 @구매품질팀 @신상품기획파트 강태헌 파트장 "
44일,입고대기,[꿈비] 듀얼팬 아이스 쿨시트,듀얼팬 아이스 쿨시트 케이블 발주,2026년 5월 11일,2026년 6월 15일,2026년 7월 24일,,[엄마감동] 듀얼팬 쿨시트 CS처리용 케이블 발주 요청 건,"@엄마감동팀 @구매품질팀 @신상품기획파트 강태헌 파트장 "
43일,입고대기,[꿈비] 휴대용 분유포트,뚜껑 무상자재 지급 요청,2026년 5월 12일,2026년 5월 22일,2026년 6월 17일,,[엄마감동] 휴대용 분유포트 뚜껑 무상자재 지급 요청 건,"@엄마감동팀 @구매품질팀 @신상품기획파트 강태헌 파트장 "
42일,결재대기,[꿈비] 휴대용 분유포트,하부커버 무상자재 지급 요청,2026년 5월 13일,,2026년 7월 31일,,[엄마감동] 휴대용 분유포트 하부커버 무상자재 지급 요청 건,"@엄마감동팀 @구매품질팀 @신상품기획파트 강태헌 파트장 "
35일,미입고,[꿈비] 배터리 분리형 휴대용 분유포트,뚜껑 Assy 및 실리콘 2종 무상자재 공급 요청,2026년 5월 20일,2026년 5월 21일,,,[엄마감동] 배터리 분리형 휴대용 분유포트 뚜껑세트 및 실리콘 2종 무상자재 공급 요청 건,"@엄마감동팀 @구매품질팀 @신상품기획파트 강태헌 파트장 "
14일,결재대기,아이스허그 아기띠 쿨링 커버,"팬, 리모컨, 스크류 무상자재 공급 요청",2026년 6월 10일,,2026년 7월 31일,,[엄마감동] 아기띠 쿨링커버 CS처리를 위한 무상자재 공급 요청 건 ,"@엄마감동팀 @구매품질팀 @신상품기획파트 강태헌 파트장 "
